id;circo;poids;type;id_info
1;à son domicile;10;specifique;1
2;dans un accident d’avion;10;specifique;1
3;la fin dune grande aventure putain {sujet.nom} tetais comme {genre(sujet,un frere,une soeur)} adieu salope;10;specifique;1
4;d’une intoxication au monoxyde de dihydrogène;10;specifique;1
5;avec 97 % des voies;10;specifique;3
6;face {pers_circo=pers}{pers_circo.nom(à)};10;specifique;3
7;après une bataille électorale acharnée;10;specifique;3
8;par {pers_circo=pers}{pers_circo.nom};10;specifique;5
9;alors qu’{genre(sujet,il,elle)} s’apprêtait à donner des informations compromettantes sur {pers_circo=pers}{pers_circo.nom};10;specifique;5
10;en featuring avec {pers_circo=pers}{pers_circo.nom};10;specifique;16
11;suite au défis qui lui a été lancé;10;specifique;17
12;et ce malgré son âge ({rand(50,60,65,69,70,75,80,90,95,100,140)} ans cette année) et bien que le MMA ne soit pas sa spécialité;10;specifique;17
13;suite au défis qui lui a été lancé;10;specifique;18
14;et ce malgré son âge ({rand(50,60,65,69,70,75,80,90,95,100,140)} ans cette année) et bien que le sabre ne soit pas sa spécialité;10;specifique;18
15;suite au défis qui lui a été lancé;10;specifique;19
16;et ce malgré son âge ({rand(50,60,65,69,70,75,80,90,95,100,140)} ans cette année) et bien que le shifumi ne soit pas sa spécialité;10;specifique;19
17;avec la mention très bien;10;specifique;24
18;dans le ciel;10;specifique;25
19;d’après des témoins anonymes;10;specifique;29
20;d’après {pers_circo=pers}{pers_circo.nom};10;specifique;29
21;avec {pers_circo=pers}{pers_circo.nom};10;specifique;30
22;et sort un premier morceau en featuring avec {pers_circo=pers}{pers_circo.nom};10;specifique;33
23;et jouera dans le premier film {pers_circo=pers}{pers_circo.nom(de)};10;specifique;34
24;et crée un nouveau mouvement avec {pers_circo=pers}{pers_circo.nom(de)};10;specifique;35
25;pour ouvrir son propre kebab;10;specifique;36
26;pour ouvrir son propre kebab;10;specifique;36
27;pour ouvrir son propre kebab;10;specifique;37
28;pour ouvrir son propre kebab;10;specifique;38
29;pour ouvrir son propre kebab;10;specifique;39
30;sur son compte Instagram;10;specifique;41
31;sur Instagram;10;specifique;41
32;d’après un sondage IPSOS;10;specifique;43
33;d’après un sondage Twitter;10;specifique;43
34;sur YouTube;10;specifique;48
35;sur Twitter;10;specifique;48
36;sur les réseaux sociaux;10;specifique;48
37;pépère;5;specifique;55
38;fièrement;10;specifique;55
39;en place publique;10;specifique;58
40;suite à son implication dans l’affaire Bygmalion;10;specifique;60
41;dans le cadre des soupçons sur ses comptes de campagne;10;specifique;60
42;dans le cadre de l’affaire des comptes de campagne #de3##nom3#;10;specifique;60
43;dans le cadre de l’affaire des faux tweets d’Alain Juppé;10;specifique;60
44;pour avoir appelé Emmanuel Macron “Manu”;10;specifique;60
45;dans le cadre de l’affaire Benalla;10;specifique;60
46;dans le cadre de l’affaire {pers_circo=pers}{pers_circo.nom(0)};10;specifique;60
47;dans le cadre de l’#Affaire{pers_circo=pers}{pers_circo.nom_colle};100;specifique;60
48;en fursuit;10;specifique;62
49;lors de sa perquisition;10;specifique;69
