id,nom,pascal_case,weight,genre,nombre,qte,categories,origine,cw
1,{ h }Norman( Thavaud)?,Norman(Thavaud)?,10,M,S,1,internet youtube humour,1,
2,Emmanuel Macron,(Emmanuel)?Macron,10,M,S,1,politique centre,1,
3,Yoshi,Yoshi,10,M,S,1,fiction jeu_video,32,
4,(K(e|é)mar|Marc Jarousseau),Kemar,10,M,S,1,internet youtube,1,
5,Mario,Mario,10,M,S,1,fiction jeu_video,32,
6,Jean-Luc Mélenchon,(JeanLuc|JL|)Mélenchon,10,M,S,1,politique gauche,1,
7,Donald Trump,(Donald)?Trump,10,M,S,1,politique droite ext_droite,3,Trump
8,Kim Jong-Un,KimJongUn,10,M,S,1,politique,12,
9,Morsay,Morsay,10,M,S,1,musique internet,1,
10,Cortex,Cortex,10,M,S,1,musique internet,1,
11,Jul,Jul,10,M,S,1,culture musique,1,
12,Cyprien( Iov),Cyprien,10,M,S,1,internet youtube humour,1,
13,(Mister V|Yvick Letexier),MisterV,10,M,S,1,internet youtube culture musique cinema humour,1,
14,Squeezie,Squeezie,10,M,S,1,internet youtube culture musique,1,
15,un individu,UnIndividu,10,M,S,1,anonyme,,
16,un lycéen,UnLycéen,10,M,S,1,anonyme,1,
17,Damso,Damso,10,M,S,1,culture musique,8,
19,Elon Musk,ElonMusk,10,M,S,1,patronat,3,
20,Ramzy,Ramzy,5,M,S,1,culture humour cinema,1,
21,Rayman,Rayman,10,M,S,1,fiction jeu_video,,
22,François Fillon,(François)?Fillon,10,M,S,1,politique droite,1,
23,Nicolas Sarkozy,(Nicolas)?Sarkozy,10,M,S,1,politique droite,1,
26,Mark Zuckerberg,(Mark)?Zuckerberg,10,M,S,1,patronat gafam,3,
27,Jeff Bezos,JeffBezos,10,M,S,1,patronat gafam,3,
28,Mohamed Henni,MohamedHenni,1,M,S,1,internet youtube,1,
29,François Hollande,FrançoisHollande,10,M,S,1,politique gauche,1,
30,Luigi,Luigi,10,M,S,1,fiction jeu_video,32,
31,Wario,Wario,10,M,S,1,fiction jeu_video,32,
32,Herobrine,Herobrine,2,M,S,1,fiction jeu_video,,
33,Link,Link,10,M,S,1,fiction jeu_video,,
34,Barack Obama,(Barack)?Obama,10,M,S,1,politique centre gauche,3,
35,Waluigi,Waluigi,10,M,S,1,fiction jeu_video,32,
36,Rilès,Rilès,1,M,S,1,culture musique,1,
37,Zinédine Zidane,(Zinedine)?Zidane,10,M,S,1,sport,1,
38,La Fouine,(LaFouine|Fouiny),5,M,S,1,culture musique,1,
39,Usul,Usul,10,M,S,1,internet youtube twitch politique gauche ext_gauche media edito,1,
40,Alain Juppé,(Alain)?Juppé,10,M,S,1,politique droite,1,
41,Xavier Niel,XavierNiel,2,M,S,1,patronat,1,
42,Sans,Sans(Undertale)?,10,M,S,1,fiction jeu_video,,
43,(Maître )?Yoda,Yoda,10,M,S,1,fiction cinema non_humain,,
44,Christophe Barbier,ChristopheBarbier,10,M,S,1,media edito,1,
45,Pascal Praud,PascalPraud,10,M,S,1,media tv,1,
46,Éric Brunet,ÉricBrunet,10,M,S,1,media edito,1,
47,Raphaël Enthoven,(Raphaël)?Enthoven,10,M,S,1,media edito,1,
48,Édouard Philippe,ÉdouardPhilippe,10,M,S,1,politique droite,1,
49,Philippe Martinez,PhilippeMartinez,10,M,S,1,politique gauche ext_gauche,1,
50,Pierre Ménès,PierreMénès,5,M,S,1,media tv sport,1,
51,Banksy,Banksy,10,M,S,1,culture,4,
52,le Pape François,LePape|PopeFrancis|PapeFrançois,10,M,S,1,,28,
53,Vladimir Poutine,Poutine,10,M,S,1,politique droite ext_droite,14,
54,Alexandre Benalla,(Alexandre)?Benalla,10,M,S,1,politique,1,
55,Patrick Balkany,(Patrick)?Balkany,10,M,S,1,politique droite,1,
56,Gérard Collomb,GérardCollomb,10,M,S,1,politique centre droite,1,
57,un policier,UnPolicier,10,M,S,1,anonyme,1,
59,TheKairi78,TheKairi78,2,M,S,1,internet youtube,1,
60,Booba,Booba,10,M,S,1,culture musique,1,
61,Kaaris,Kaaris,10,M,S,1,culture musique,1,
62,Hugo Clément,HugoClément,10,M,S,1,media journalisme,1,
63,un chien,UnChien,10,M,S,1,non_humain,,
64,un chat,UnChat,10,M,S,1,non_humain,,
65,Nicolas Hulot,NicolasHulot,10,M,S,1,politique ecolo,1,
67,Pierre Rabhi,PierreRabhi,10,M,S,1,ecolo,1,
68,Stéphane Bern,StéphaneBern,10,M,S,1,tv,1,
69,Éric Zemmour,ÉricZemmour,30,M,S,1,politique ext_droite media,1,Zemmour
70,Laurent Ruquier,(Laurent)?Ruquier,10,M,S,1,tv,1,
71,Michel Drucker,(Michel)?Drucker,10,M,S,1,tv,1,
72,(le )?Google Assistant,GoogleAssistant,5,M,S,1,non_humain,3,
73,Siri,Siri,5,M,S,1,non_humain,3,
74,Xavier Dupont de Ligonnès,XavierDupontDeLigonnès|XDDL,10,M,S,1,,1,
75,Bowser,Bowser,10,M,S,1,fiction jeu_video,32,
76,Tom Nook,TomNook,10,M,S,1,fiction jeu_video,,
77,Jean-Marie Le Pen,JeanMarieLePen|JMLP,10,M,S,1,politique ext_droite,1,Jean-Marie Le Pen
78,Manuel Valls,(Manuel)?Valls,10,M,S,1,politique gauche centre,1,
79,Cyril Hanouna,(Cyril)?Hanouna,10,M,S,1,tv,1,
1000,Éric et Ramzy,ÉricEtRamzy,10,M,P,2,culture humour cinema,1,
